Annee;Num_Acc;Mois;Lieu;catr;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;0;100;3;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;30
2020;2,02E+11;Aout;Paris;3;0;N/A;1;1;0;1;4;674;2;;-1;1;3;8;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;3;0;1;66;170;1;;-1;2;0;1;80
2020;2,02E+11;Aout;Paris;3;0;N/A;2;6;0;1;3;600;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;4;0;1;-1;-1;1;;-1;2;5;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;1;6;0;1;;-1;1;5;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;1;134;400;1;;5;1;0;1;80
2020;2,02E+11;Aout;Paris;7;0;N/A;2;3;0;1;-1;-1;3;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;1;1;-1;-1;3;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;2;0;0;3;;-1;2;0;4;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;5;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;3;2;2;1;-1;-1;1;;-1;1;0;5;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;4;0;1;0;0;1;;-1;2;5;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;2;21;203;3;;5;2;0;3;80
2020;2,02E+11;Avril;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Avril;Paris;3;0;N/A;1;2;0;1;0;1;1;;-1;9;8;1;50
2020;2,02E+11;Avril;Paris;3;0;N/A;2;4;0;1;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Avril;Paris;3;0;N/A;2;3;0;1;0;0;1;;10,5;1;9;4;50
2020;2,02E+11;Avril;Paris;3;0;N/A;2;3;2;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Avril;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Avril;Paris;3;0;N/A;2;3;0;1;0;0;1;;9;1;0;1;50
2020;2,02E+11;Avril;Paris;3;-1;N/A;2;2;0;2;3;64;1;;-1;1;0;1;70
2020;2,02E+11;Avril;Paris;3;0;N/A;2;2;0;2;19;600;1;;5;1;0;1;70
2020;2,02E+11;Avril;Paris;3;-1;N/A;2;2;0;1;23;550;1;;5;1;0;8;70
