annee ;Num_Acc;Mois ;Lieu;catr;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;70
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;1;-1;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;3;-1;N/A;2;1;0;2;74;-1;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;1;-1;N/A;2;-1;-1;1;92;600;1;;-1;1;0;1;-1
2021;2,02E+11;Août;Paris;9;0;N/A;-1;1;3;1;0;0;1;;-1;1;6;6;5
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;2;9;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;1;750;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;A;2;2;0;2;1;870;3;;-1;2;0;3;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;1;1;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;-1;1;-1;-1;1;;5,5;1;0;1;-1
2021;2,02E+11;Août;Paris;4;0;N/A;1;0;0;1;-1;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;1;-1;N/A;1;3;-1;1;1;600;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;14;780;1;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;2;0;2;-1;-1;3;;-1;1;2;1;50
2021;2,02E+11;Août;Paris;1;0;A;3;3;0;1;74;0;1;;-1;1;0;1;130
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;6;0;N/A;-1;-1;0;1;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;-1;1;65;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;19;825;3;;-1;2;3;8;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;0;3;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;-1;3;0;2;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;3;2;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;600;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;1;1;0;1;45;575;1;;-1;1;3;1;90
2021;2,02E+11;Août;Paris;9;0;N/A;-1;0;0;1;1;0;2;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;1;0;2;;-1;2;9;1;70
2021;2,02E+11;Août;Paris;7;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;-1;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;1;2;0;1;0;0;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;0;2;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;-1;-1;-1;1;14;300;1;;-1;1;5;1;-1
2021;2,02E+11;Août;Paris;3;0;N/A;2;1;0;1;0;0;1;;-1;1;6;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;3;2;0;1;10;0;1;;-1;1;9;1;90
2021;2,02E+11;Août;Paris;4;0;N/A;1;2;0;1;0;0;1;;-1;2;9;8;50
2021;2,02E+11;Août;Paris;3;0;N/A;1;1;1;1;0;0;2;;-1;2;9;5;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;1;-1;-1;1;;-1;2;5;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;8;100;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;2;0;N/A;3;2;0;1;30;223;1;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;-1;N/A;-1;1;1;1;-1;-1;1;;-1;9;6;5;-1
2021;2,02E+11;Août;Paris;2;-1;N/A;2;2;0;2;-1;-1;3;;-1;1;0;3;60
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;41;400;1;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;2;24;130;2;;-1;2;0;1;70
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;1;1;;-1;7;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;-1;0;1;-1;-1;2;;-1;1;0;1;-1
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;2;0;0;2;;-1;1;2;1;30
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;14;300;1;;-1;1;0;8;80
2021;2,02E+11;Août;Paris;4;0;N/A;3;4;0;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;4;0;1;0;0;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;9;-1;N/A;2;1;-1;2;-1;-1;1;;-1;6;8;8;-1
2021;2,02E+11;Août;Paris;3;0;N/A;-1;2;0;3;0;0;2;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;2;0;0;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;47;400;3;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;3;650;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;2;9;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;2;0;1;0;0;1;;-1;1;0;8;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;3;0;1;1;240;1;;-1;2;5;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;2;0;N/A;3;2;0;1;35;800;1;;-1;1;0;1;110
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;46;700;3;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;1;1;0;1;18;150;2;;-1;2;2;1;90
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;33;434;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;4;0;N/A;4;0;3;1;0;0;1;;-1;1;4;6;40
2021;2,02E+11;Août;Paris;2;0;N/A;2;1;0;1;1;0;3;;-1;1;9;1;80
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;1;9;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;3;1;0;1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;1;0;1;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;10;362;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;3;1;1;-1;-1;1;;-1;1;0;5;5
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;4;0;1;32;1100;1;;-1;1;0;1;90
2021;2,02E+11;Août;Paris;1;0;N/A;3;5;0;1;10;0;1;;-1;1;0;1;110
2021;2,02E+11;Août;Paris;1;0;N/A;3;4;0;2;1;0;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;1;0;N/A;3;4;0;1;5;0;1;;-1;1;0;1;90
2021;2,02E+11;Août;Paris;2;0;N/A;3;4;0;2;3;0;3;;-1;2;0;1;70
2021;2,02E+11;Août;Paris;1;0;N/A;3;4;0;1;10;0;1;;-1;2;0;1;90
2021;2,02E+11;Août;Paris;1;0;N/A;3;6;0;1;17;200;1;;-1;1;0;1;110
2021;2,02E+11;Août;Paris;1;0;N/A;3;6;0;1;10;100;2;;-1;3;0;2;110
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;2;2;800;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;2;0;N/A;1;3;0;4;0;0;2;;-1;1;0;1;90
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;1;74;400;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;2;-1;-1;1;;-1;2;9;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;0;2;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;0;D;2;2;0;1;-1;-1;4;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;2;-1;-1;1;;-1;2;0;4;50
2021;2,02E+11;Août;Paris;7;-1;F;2;2;0;1;-1;-1;2;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;2;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;-1;0;1;0;100;1;;-1;1;9;8;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;2;1;0;0;3;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;3;1;0;0;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;2;38;0;3;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;-1;0;0;2;1;0;2;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;3;1;0;4;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;1;0;A;1;1;0;1;264;0;3;;-1;1;3;8;70
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;2;11;300;2;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;7;0;N/A;-1;2;0;1;0;0;1;;-1;1;6;1;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;3;3;3;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;-1;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;-1;1;30;105;1;;-1;1;2;1;30
2021;2,02E+11;Août;Paris;1;-1;N/A;3;4;0;1;69;10;1;;-1;1;0;1;130
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;2;1;3;90;1;;-1;1;-1;1;70
2021;2,02E+11;Août;Paris;3;-1;N/A;2;3;0;2;18;200;1;;-1;1;0;3;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;7;0;N/A;2;4;0;2;1;0;2;;-1;2;3;1;50
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;1;6;167;2;;-1;1;0;3;90
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;2;0;1;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;3;0;1;0;0;1;;-1;2;0;1;30
2021;2,02E+11;Août;Paris;3;0;D;-1;2;0;2;29;500;3;;-1;2;5;1;-1
2021;2,02E+11;Août;Paris;3;0;D;-1;2;0;1;15;600;3;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;2;;4;2;0;3;80
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;1;27;800;1;;-1;1;4;6;50
2021;2,02E+11;Août;Paris;1;0;N/A;3;3;0;1;269;0;1;;-1;7;0;1;110
2021;2,02E+11;Août;Paris;4;0;N/A;2;0;0;1;-1;-1;1;;-1;1;0;4;30
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;2;1;-1;-1;3;;-1;2;-1;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;4;3;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;1;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;4;1;0;1;0;0;1;;-1;2;5;1;30
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;100;1;;-1;1;5;1;30
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;2;66;670;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;3;-1;N/A;2;1;0;1;4;770;3;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;9;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;1;1;0;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;1;2;0;2;0;9;3;;-1;1;0;3;90
2021;2,02E+11;Août;Paris;7;0;N/A;2;1;0;1;0;9;1;;-1;1;0;3;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;1;0;0;1;;-1;2;6;6;30
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;4;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;49;1382;3;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;1;4;1;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;10;50;1;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;4;-1;N/A;2;-1;-1;2;-1;-1;2;;-1;9;0;1;90
2021;2,02E+11;Août;Paris;3;-1;N/A;2;-1;-1;1;2;600;1;;-1;2;5;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;0;1;3;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;3;2;1;1;-1;-1;1;;-1;1;0;8;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;2;1;-1;-1;1;;-1;1;0;5;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;3;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;5;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;2;1;-1;-1;1;;-1;1;-1;5;50
2021;2,02E+11;Août;Paris;2;0;N/A;3;2;0;3;55;0;1;;-1;1;9;1;110
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;9;0;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;1;0;9;1;;-1;1;0;3;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;4;3;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;3;3;2;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;3;6;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;2;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;1;2;0;1;-1;-1;2;;5;1;5;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;0;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;-1;1;0;2;-1;-1;3;;-1;1;9;1;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;3;1;1;-1;-1;1;;-1;1;-1;6;30
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;0;1;59;800;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;1;1;;-1;1;6;1;30
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;1;0;100;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;7;0;N/A;3;5;0;1;-1;-1;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;0;0;2;1;0;1;;-1;2;0;4;40
2021;2,02E+11;Août;Paris;3;0;N/A;2;3;0;1;499;0;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;3;4;0;1;23;770;1;;-1;2;0;1;90
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;2;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;1;2;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;6;0;N/A;-1;-1;3;1;1;0;1;;-1;2;6;8;10
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;9;0;N/A;-1;0;3;1;0;0;1;;-1;1;0;6;30
2021;2,02E+11;Août;Paris;3;0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;2;0;0;2;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;9;174;3;;-1;1;0;3;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;21;911;1;;-1;2;0;3;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;288;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;1;-1;N/A;3;-1;-1;1;14;200;1;;-1;1;0;1;-1
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;3;3;0;2;123;-1;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;7;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
